X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8236986.64690147,4970854.67702056,1628213,C.T. Seafood Marts Corp.,249 Grand Street,,New York,NY,10002,    ,NEW YORK,Super Store,40.718132,-73.99411,,,225
-8228260.08937921,4963652.74587181,1631891,Lebron Restaurant Inc,1567A Pitkin Ave,,Brooklyn,NY,11212,4602,KINGS,Restaurant Meals Program,40.669079,-73.915718,,,233
-8228074.07451009,4961913.87761277,1626393,Brwnsvile Gourmet Deli Inc.,469 East 98th St,,Brooklyn,NY,11212,    ,KINGS,Convenience Store,40.65723,-73.914047,,,234
-8235382.31040016,4960158.15273548,1616244,Modega Inc.,101 Albemarle Rd,,Brooklyn,NY,11218,2305,KINGS,Convenience Store,40.645264,-73.979698,,,327
-8420477.12392431,5296537.98598251,1637455,Byrne Dairy Morrisville 156,66 E Main St,,Morrisville,NY,13408,7731,MADISON,Convenience Store,42.898518,-75.642433,,,328
-8222292.91939472,4975598.0776675,1630480,Mi Pueblito,3916 104th St,,Corona,NY,11368,2314,QUEENS,Other,40.75042,-73.862114,,,383
-8218699.52623192,4976618.22134671,1631672,WZ Real Life,133-51 41st Rd,,Flushing,NY,11355,3652,QUEENS,Grocery Store,40.757362,-73.829834,,,384
-8238689.50115214,4959282.75553899,1624828,Jiajia Grocery Inc,5522 7th Ave,,Brooklyn,NY,11220,3508,KINGS,Grocery Store,40.639297,-74.009407,,,385
-8228474.93599644,5280516.01017894,1636332,Karam Asian Grocery & Halal Meat,1473 State St,,Schenectady,NY,12304,2914,SCHENECTADY,Grocery Store,42.792992,-73.917648,,,386
-8259773.41270838,5090059.85752587,920588,DOLLARTREE 08115,1015 State Route 17k,,Montgomery,NY,12549,2208,ORANGE,Other,41.524796,-74.198807,,,387
-8217666.81531583,4986507.91014023,1627648,W.E.A.M Fruit & Vegetables,3822 E Tremont Ave,1 St,Bronx,NY,10465,2435,BRONX,Grocery Store,40.824623,-73.820557,,,390
-8220923.02174102,4998164.88069295,1622800,City Line Fruits And Vegetables,4710 White Plains Rd,,Bronx,NY,10470,1103,BRONX,Grocery Store,40.903816,-73.849808,,,391
