street_address,zip_code,store_types,total_auth_count,deauth_count,address_history_years,churn_tier,store_names
17TH ST & BROADWAY,10003,Farmers' Market | Fruits/Veg Specialty | Meat/Poultry Specialty,12,12,33.8,Very High,3-CORNER FIELD FARM-GM | ELK TRAILS BISON RANCH (GM) | NEW YORK BEEF CO - GM | PAFFENROTH GARDENS - GM | RYDER FARM COTTAGE INDUST-GM | S&SO PRODUCE FARMS - GM
2641 Decatur Ave,10458,Convenience Store | Small Grocery Store,11,11,20.7,Very High,2641 DECATUR AVENUE INC | Adan Food Center | Allen Gourmet Deli Inc | Decator Deli Corp | J.P. Deli Grocery | Pikkapiedras Inc
404 Marcus Garvey Blvd,11216,Convenience Store | Medium Grocery Store | Small Grocery Store,11,10,21.8,Very High,Chemi Deli Grocery Corp | Halsey Food Corp | Khashafa Corp | Laeth Food Corp | M & L Deli Grocery Corp | MORAIS FOOD CORP
8118 5th Ave,11209,Convenience Store | Small Grocery Store,10,9,33.3,Very High,BAY RIDGE GROCERY INC | Bay Ridge King's Market Inc | Darby & Joan Inc | Darbys Deli  & Grocery | Emily Farm Corp | Li Darby's Deli & Grocery Inc
237 E 203rd St,10458,Convenience Store | Medium Grocery Store | Small Grocery Store,10,9,29.1,Very High,"4 Corazones Grocery Store Inc | 4 Corazones Grocery Store, Inc | Cerrito Limon Grocery Store Corp | EL PRINCIPE GROCERY STORE CO | El Principe Grocery Store Corp | El Principle Grocery Store Corp."
540 Hegeman Ave,11207,Convenience Store | Small Grocery Store,10,10,26.4,Very High,50 Stars Candy & Grocery Inc | Antar Deli Grocery Corp | Carlitos Deli Grocery Corp | Hegeman Grocery Store | King Of East Corp | MORENO DELI GROCERY
509 Cortelyou Rd,11218,Medium Grocery Store | Small Grocery Store,10,10,21.8,Very High,Ahil & Mahia Grocery Inc | Bangla Bazar Grocery Inc. | Diganta | Diganta Grocery Inc | Kosher Meat Market Inc | Kosher Mini Market Co
1393 Plimpton Ave,10452,Convenience Store | Medium Grocery Store | Small Grocery Store,10,9,21.9,Very High,1393 Junior Deli Grocery Corp | Ayell Deli Grocery Corp | F & A Deli Grocery Corp | J.P. DELI GROCERY INC | JP Deli Grocery Corp | La Estacion Deli Grocery Corp
362 Willis Ave,10454,Convenience Store | Medium Grocery Store | Small Grocery Store,10,10,20.3,Very High,362 DELI GROCERY INC | 362 Grocery Corporation | 362 Willis Deli Inc | Jhonny 5 Deli Grocery Inc | Mott Haven Deli Grocery Inc | Mott Haven Market and Deli Grocery Inc
1060 Belmont Ave,11208,Medium Grocery Store | Small Grocery Store,10,10,20.8,Very High,Al Madina Supermarket Inc | Analia Minimarket Corp | Angelina Mini Market | Angie Grocery | Dhaka Halal Food Corp | ELIZA GROCERY CORP
7020 Central Ave,11385,Convenience Store | Small Grocery Store,9,8,15.1,Very High,7020 Empresario Joven Corp | Crystal Corner Deli & Grocery Corp | Crystal Corner Deli Grocery | Duran Deli Corp | Manuelito Deli Grocery | New Corner Deli & Grocery
860 E 180th St,10460,Convenience Store | Medium Grocery Store | Small Grocery Store,9,10,23.8,Very High,EL GALLO MEAT & PRODUCE INC | El Sabor Deli Grocery Corp | MOHEGAN GROCERY STORE | Mohegan Grocery Store | SUCCESSORS 180TH ST FOOD CORP | Sonia Grocery Store No. 2
2207 Bath Ave,11214,Convenience Store | Medium Grocery Store | Small Grocery Store,9,9,27.2,Very High,2207 Bath Avenue Corp | Bay Express Deli & Grocery Inc | Das Grocery Inc | JEWEL GROCERY & DELI INC | M & D DELI & GROCERY INC | Ma Goodluck Convenience Inc. N/A
2223 86th St,11214,Bakery Specialty | Combination Grocery/Other | Convenience Store | Fruits/Veg Specialty | Medium Grocery Store | Small Grocery Store,9,8,20.8,Very High,ALCOR SERVICE CORP | Breadzone Corp. | Golden Dragon Market Corp | Ibakery 86 Inc | Mann Trading Corp | SOPHIA'S WHITE ACACIA INC
72 Riverdale Ave,11212,Convenience Store | Small Grocery Store,9,8,20.1,Very High,AS Deli Grocery | Alexis Deli Corp | Caliente Deli & Grocery Inc | Commercial Deli & Grocery Corp | J.A. Grocery | Palmarejo Deli Grocery Corp
2233 Pitkin Ave,11207,Convenience Store | Medium Grocery Store | Small Grocery Store,9,9,20.8,Very High,2233 Friendly Deli Corp | 2233 PITKIN GROCERY CORP | Best Stop Deli Ny Corp | Bonao Deli & Grocery Inc | My Neighbor Food Center Corp | P & T Grocery Corp
483 Ralph Ave,11233,Convenience Store | Medium Grocery Store | Small Grocery Store,9,8,24.8,Very High,483 RALPH MINI MARKET CORP | 483 Ralph Food Market  Corp | 483 Ralph Food Market Corp | Brooklyn Finest Deli Grocery Inc | Keiry Deli Corp | Ovalles Deli Corp
333 Pulaski St,11206,Convenience Store | Medium Grocery Store | Small Grocery Store,9,8,16.6,Very High,Ayesha Deli Grocery Corp | Bhuiyan Deli Grocery Corp | F & M EXPRESS DELI INC | Honufa Deli Grocery Corp | King Of Pulaski Deli Inc | PULASKI ST DELI CORP I
370 Throop Ave,11221,Convenience Store | Medium Grocery Store | Small Grocery Store,9,8,32.6,Very High,"Dominguez 370 Corp | Healthy Organic Market Inc | Lucky 5 Deli Corp 2 | Lucky 5 Deli, Corp. 7 | Mia Grocery | Saul Deli & Grill Corp 372"
424 Sutter Ave,11212,Convenience Store | Medium Grocery Store | Small Grocery Store,9,8,21.4,Very High,1st Choice Grill Deli Grocery Inc | Brooklyn 99Cents Inc | New Charlie Mini Market Inc. | S & T Supermarkets Inc | SABA 99 DISCOUNT CORP | SUPER STORE DELI
424 Ditmas Ave,11218,Convenience Store | Medium Grocery Store | Small Grocery Store,9,9,23,Very High,A Plus Quality Corp | BAZZ JO CORP | Big Smile Llc | Farida Fresh Fruits And Vegetables Inc | Fruits & Vegetables Inc | New Fresh Fruits & Vegetables Inc.
960 Myrtle Ave,11206,Convenience Store | Medium Grocery Store | Small Grocery Store,9,9,23.3,Very High,960 Supermarket And Deli Corp | ANDY FOOD CORP | Double A & H Deli Corp | Farmer Supermarket Deli Inc | Hw Grocery Deli Corp | Mercy Famous Deli Corp
5686 Mosholu Ave,10471,Large Grocery Store | Medium Grocery Store | Supermarket,9,10,21.5,Very High,Fns Supermarket Inc/Associated Supermarket | H & E FOOD INC | KPJ.JF FOOD CORP | Kaj Market Corp/Associated Supermarket | Lakeview Food Corp DBA Associated | MPP Supermarket Corp
813 Marcy Ave,11216,Convenience Store | Small Grocery Store,9,9,24.4,Very High,813 DELI-GROCERY | Dalquiris Deli Grocery Corp | Delvin Deli Grocery Corp | La Mina Food Corp. | M & J Grocery Store | R & J GROCERY STORE
545 Knickerbocker Ave,11221,Convenience Store | Small Grocery Store,9,8,21.3,Very High,545 Linden Deli Grocery Corp | Diksha 545 Inc | Gutierrez Grocery Corp | J & N SUPERMARKET CORP | J&S MEAT & PRODUCE CORP | VARGAS SUPERMARKET
249 Avenue X,11223,Farmers' Market | Fruits/Veg Specialty | Medium Grocery Store | Small Grocery Store,9,8,23.4,Very High,Fruits And Vegetables Brothers | Fruits And Vegetables Brothers Inc | H Golden Grande Farm | New Young's Fruit & Vegetable Inc | YOUN'S FRUITS AND VEGETABLES | YOUNG'S FRUIT & VEGETABLE
4033 Main St,11354,Combination Grocery/Other | Fruits/Veg Specialty | Medium Grocery Store | Super Store | Supermarket,9,8,22.6,Very High,BIG BROTHER SEAFOOD INC T | Boda Market Inc | C.h. Supermarket | Chang Giang Supermarket Inc | Chang Jiang Store | Cl Supermarket
1430 Saint Peters Ave,10461,Medium Grocery Store | Small Grocery Store,8,8,17.9,Very High,Baez Grocery Store | Bangla Grocery & Halal Meat | Bangla Grocery 1 | Bangla Grocery Inc | HRFT Inc | Minati & Sons  Corp
706 Lydig Ave,10462,Medium Grocery Store | Small Grocery Store,8,8,20.1,Very High,706 Food Corp | A'Pummarola Food Market Ltd | F.a. Supermarket Corp | Hudson Supermarket | International Retail Wholesale Food Market Corp | Pelham Supermarket
6930 4th Ave,11209,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,18.5,Very High,Deli On 4th Ave Corp | K&yo Deli Grocery Inc. | Kamlin III LLC - KC Grill And Grocery | NY BEST DELI II CORP | OLIVIA DELI & GROCERY CORP | Ovington Deli & Grocery Inc
4823 Church Ave,11203,Convenience Store | Small Grocery Store,8,7,21.4,Very High,A & Y Deli Grocery | Island Grocery & Deli Llc | N & M Church Deli Corp | NOMAN DELI GROCERY | Rafeef Deli & Grocery Corp | SUNSHINE DELI GROCERY
1309 Clinton Ave,10456,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,21.8,Very High,1309 First Stop Deli Grocery Inc | 1309 MARTE CORP | 20/20 As Deli And Grocery | Az Grocery Deli Corp I | Clinton Deli Grocery Pizza Inc. | Gourmet Deli Pizza Inc.
6724 14th Ave,11219,Convenience Store | Small Grocery Store,8,8,23.2,Very High,BAEZ DELI GROCERY | Good Neighborhood Deli | Good Neighborhood Deli & Coffee Shop Inc | PLATINUM DELI & GROCERY | Rodriguez Grocery | Sabore Gourmet Deli Corp
8501 Bay Pkwy,11214,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,20.7,Very High,BEST INTERNATIONAL INC | Bay Parkway Farm Inc | H & E  Kosher Grocery | Kings Apple Farmer Market 2 Corp | L & J International Food Inc | Lilly Farm
130 Cortelyou Rd,11218,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,29.3,Very High,AB Grocery & Halal Meat Inc | Ar-Rahman Enterprises Inc | Bengal Supermarket | Jamuna Deli & Grocery | MELO MINI MARKET | Milan Supermarket Inc.
234 Troy Ave,11213,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,19.5,Very High,7 & 7 Grocery & Deli Inc | A & M Gourmet Deli Corp | Alqaisi Grill & Deli LLC | American Express Deli&grocery Corp | Halal Grill Deli | L&r Deli Grocery Inc
706 Faile St,10474,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,16,Very High,Empire City Deli Corporation | Havana Deli Corp | Havana Deli Corp. | Hero City #2 Deli Inc | Lucky Brothers Deli & Grocery | Mama Maria Deli Grocery Corp
78 Thatford Ave,11212,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,20.3,Very High,Howard Mini  Market | Jacob Mini Market Corp | NEW HORIZON MINI MARKET | New Horizon Mini Market Inc | Rico Mini Market Corp | THOMALY GROCERY CORP.
970 Coney Island Ave,11230,Convenience Store | Medium Grocery Store | Small Grocery Store,8,9,24.1,Very High,"AMZ International Corp | Al Jannat Grocery Corp | Al jannat Halal Grocery corp 1 | Apna Bazar Corp | Evergreen Halal Meat& Grocery Inc | H & H FOOD MART,CORP"
361 Sutter Ave,11212,Convenience Store | Small Grocery Store,8,8,17.6,Very High,361 Brownsville Convenience Corporation | 361 Sutter Deli and Grocery Inc | Aljufi Convenience Store | Ayman Gourmet Deliinc | Grand Convenience Grocery Inc | Sutter Express Deli Corp
4023 8th Ave,11232,Convenience Store | Small Grocery Store,8,7,19.9,Very High,B & B Grocery Inc | BRIAN'S MINI MART INC | Corner Store Mini Mart Inc | E 100 Grocery Inc | H & H 4023 Deli Grocery Inc | J & K Grocery Inc
45 Rockaway Ave,11233,Convenience Store | Small Grocery Store,8,7,21.2,Very High,45 ROCKAWAY AVENUE GROCERY CORP | Danna's Deli Grocery | Espinal Grocery | Marion Deli Grocery Corp | Miraflores Grocery Corp | SAJOMA DELI GROCERY
421 Audubon Ave,10033,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,22.3,Very High,421 BEST GROCERY INC | 421 Best Grocery Inc | Audubon Deli Grocery Corp | Brisa Deli Sur Inc | Brisa del Sur Deli Grocery Inc | Imagination Food Services LLC
720 Courtlandt Ave,10451,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,19.1,Very High,2goz | 720 Deli Grocery Inc. | 720 K L Deli Grocery Corp | E & N Deli Grocery Inc | Emily & Nuris Deli Grocery Corp | Fire Grill & Deli Inc.
4717 8th Ave,11220,Combination Grocery/Other | Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,14.3,Very High,Chang Xing Inc | Fa Xin Grocery Inc | He Feng Trading Corp | Hua Run Wan Jia Inc. | Jia He Xing Grocery Inc | Jia Sheng Grocery Inc
206 Willis Ave,10454,Convenience Store | Small Grocery Store,8,8,22,Very High,2 TIMES PROYECTO DELI&GROC STORE | 206 Samy Gourmet Deli Corp | 206 Willis Deli Inc | 206 Willis Deli Inc. | Cinthya's Grocery Store | Daily Deli Ny Corp.
4183 Broadway,10033,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,26,Very High,"177 GROCERY DELI,INC | 4183 Green Grocery Corp | A&Y BROADWAY DELI GROCERY CORP | Broadway Express Grocery Deli Inc | Jimmy Express Deli Corp | Moca Deli Grocery Inc"
1215 Grand Concourse,10452,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,19.9,Very High,Bangladesh Grocery | Bangladesh Meat and Vegetable Store | High Life Deli & Grocery Corp I | Majesty Food Corp | Munch'n Out Food & Convenience | Munchies Deli Grocery Corp
384 Bedford Park Blvd,10458,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,20.8,Very High,384 Grocery Inc | A One Deli Corp | Ayham Grocery Shop Inc | B1 Deli Food Corp | H & N GROCERY CORP | MM CONVENIENCE STORE
4206 White Plains Rd,10466,Combination Grocery/Other | Convenience Store | Meat/Poultry Specialty | Medium Grocery Store | Small Grocery Store,8,7,20.1,Very High,"233 Castillo Meat Corp | 233 N.V. MEAT MARKET, CORP. | 233 Villa Corporation | 233rd Carribean Meat Market Corp. | 233rd Meat Market Inc | One Love Butchershop Corp"
1325 Foster Ave,11230,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,20.5,Very High,"KARMEN DELI GROCERY INC | Lahore Grocery Inc | Mahtim & Naima, Inc. | Rahma Grocery Inc | Shaide Grocery Inc | Titas Grocery Inc./Rainbow Grocery"
116 E 170th St,10452,Fruits/Veg Specialty | Meat/Poultry Specialty | Medium Grocery Store | Supermarket,8,6,33.2,Very High,170 Meat Market Corp | Adolfo Meat Market Corp | CLASSIC MEATS INC | Green Village Meat Market II Corp | Sosa Produce | Starbro-n-sons Meat Corp.
1742 Pitkin Ave,11212,Convenience Store | Small Grocery Store,8,7,20.3,Very High,1742 Pitkin Food Corp | Osborn Mini Market 1 Corp | PITKIN 1742 GROCERY CORP | PITKIN SUPER DELI CORP | Pitkin Best Deli Corp | Pitkin Food & Deli Corp
1133 Flatbush Ave,11226,Convenience Store | Small Grocery Store,8,7,22.7,Very High,Clarendon Deli Corp | Coffee House & Deli Corp | FLATBUSH GROCERY CORP | Lucky Corner Grocery Corp | NEW FLATBUSH EXPRESS CORP
570 Pennsylvania Ave,11207,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,20.4,Very High,"2020 Riverdale Deli Grocery, Corp. | 570 OV Grocery Corp | 570 Pennsylvania Grocery Inc | Lafe Grocery, Corp. | M & J GROCERY CORP | My Way Deli Grocery Corp."
90 W 165th St,10452,Convenience Store | Large Grocery Store | Medium Grocery Store | Small Grocery Store | Supermarket,8,7,20.9,Very High,90 W 165th St. Food Corp./Antillana Meat Market | CHICO DELI AND GROCERY INC | Don Tito Mini Market Corp/Don Tito Mini Market Cor | La Luisa Deli Grocery Corp | Nelson Ave Mini Market Corp | P & P Meat Market Inc
113 Belmont Ave,11212,Convenience Store | Medium Grocery Store | Small Grocery Store,8,8,21.8,Very High,Belmont Deli | Belmont Mini Market Corp | JUAN DELI GROCERY | Lucas Gourmet Corp | Moreno Mini Market | R.H.E. Deli-Grocery Corp
253 E 172nd St,10457,Convenience Store | Small Grocery Store,8,7,20.4,Very High,BURNSIDE AFRICAN AMERICAN GROCERY | EL SOL FRUIT VEG MARKET INC | La Villa Farm of NY Corp | Mega Food And Grocery Corp | Mega Food And Mini Market Corp | Omega Food Grocery Corp
699 Beck St,10455,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,18.4,Very High,699 BECK ST. GROCERY CORP | Daraliz Deli Corp | J & J Deli Grocery Store Corp. | V & V Deli Corp | Willys Grocery Store Inc
2200 Pitkin Ave,11207,Convenience Store | Medium Grocery Store | Small Grocery Store,8,9,21.6,Very High,Emad Grocery Corp | GET AND GO CORPORATION | Greenbelt Grocery Corp | Hamzah Grocery Inc | King Of Pitkin Grocery Inc | King Of Pitkin Grocery Inc.
1715 Saint Johns Pl,11233,Convenience Store | Food Buying Co-op | Small Grocery Store,8,7,22.4,Very High,1715 Convenience Corp | 5 Star Deli & Grocery Inc I | 6 Star Deli & Grocery Corp I | Johns Deli Grocery Corp | ST JOHN DELI GROCERY INC | Stay Fresh Deli & Grill 1 Corp
311 Evergreen Ave,11221,Convenience Store | Small Grocery Store,8,8,20.5,Very High,BRANDON GROCERY | De Jesus Deli Grocery | Gm Bani Deli Grocery Corp | Juncalito Deli Grocery Corp | Naumji Food Corp | Nohely Deli Grocery
2476 86th St,11214,Combination Grocery/Other | Convenience Store | Medium Grocery Store | Small Grocery Store,8,9,20.6,Very High,ANIS LLC | G & G Deli & Grocery Inc | Kings Sunshine Deli Grocery Inc | New S & Y Convenient Store Inc | O & O Deli & Grocery Inc | Star Convenience Corp
395 E Mosholu Pkwy N,10467,Convenience Store | Small Grocery Store,8,8,18.9,Very High,395 Deli & Grocery Corp | CJ Deli & Grocery | Juana's Amazing Deli And Convenience Store Inc | Lion Head Grill Corp | Mosholu 1 Deli Corp | Mothers Deli Inc
2727 Cropsey Ave,11214,Convenience Store | Small Grocery Store,8,8,27.1,Very High,"A & Z Convenient Inc | Bay 46 Grocery, Inc. | C & J EXPRESS DELI GROCERY INC | Inbox Convenient Corp | Nang & H Grocery Inc | New One Stop Express Deli Corp"
571 E 139th St,10454,Convenience Store | Small Grocery Store,8,7,22.2,Very High,"571 Express Deli Grocery Inc | 571 Gold Star Corp | Alfares Deli & Grocery Corp | BETANCOURT GROCERY INC | Chelsie Grocery, Corp. | Mergim Gold Deli & Grocery Corp."
9801 Avenue L,11236,Convenience Store | Medium Grocery Store | Small Grocery Store,8,7,15.7,Very High,Canarsie Super Express Deli Inc. | E.98 FOOD CORP | Kings Of Canarsie Grocery Inc | Monyat Deli And Grocery Inc | Ramzy Convenience Corp | STOP ONE DELI GROCERY CORP I
8404 Flatlands Ave,11236,Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,24,High,"8404 Deli Corp | 8404 Grocery Corp | FAMILY GROCERY, INC. | Flatlands Grocery & Grill Corp | Flatlands Grocery & Grill Corp. | On The Go Deli Inc"
726 Broadway,11206,Convenience Store | Meat/Poultry Specialty | Small Grocery Store,7,7,20.7,High,726  Meat Market Inc/Sagal Food | 726 Deli And Grocery Corp | Alnawras Deli & Grocery Corp | Finest Deli & Grocery Corp I | Roshan's Deli & Grocery LLC | Sazon Meat Market Corporation
738 Nostrand Ave,11216,Convenience Store | Small Grocery Store,7,7,24.4,High,738 FOOD CORP | Delicious Gourmet Food Market Corp | NOSTRAND AVE DELI FOOD CORP | Nostrand Avenue Deli Grocery | Royal Gourmet Deli Corp | Royal Natural Corp
4702 Clarendon Rd,11203,Convenience Store | Small Grocery Store,7,6,24.6,High,J MEJIA FOOD CORP | J Mejia Food Corp | NEIGHBORHOOD GROCERY | Neighborhood Grocery | Y & O Food Corp
1699 Nostrand Ave,11226,Convenience Store | Medium Grocery Store | Small Grocery Store,7,7,23.7,High,"111 F & S Deli And Grocery Corp | AY&A Convenience Store, Inc | Abu Ali Inc | J & B GROCERY | JBD Mini Market Corp | L&O Deli Grocery Corp"
1289 Walton Ave,10452,Medium Grocery Store | Small Grocery Store,7,7,26.4,High,1289 Jc Deli Grocery Corp | Abn Grocery Deli Corp | Bani Food Plaza Inc | Helen Grocery Inc | Leodany Grocery Inc | URENA GROCERY
3401 Olinville Ave,10467,Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,21.2,High,Gourmet Coffee Deli Grocery Corp | Kids Fantasy Grocery & Deli | Mandeeps Corner Deli Llc | Olinville Gourmet Deli Grocery Corp | Quik Stop Deli Corp. | Ruthdelania Deli Llc
94 Tompkins Ave,11206,Convenience Store | Medium Grocery Store | Small Grocery Store,7,7,18.9,High,94 Gourmet Deli Corp | Apple Express Deli Inc | Bnbg Deli Grocery Incorporated | Tompkins Ave. Grocery Inc | Tompkins Express Deli Inc | Tompkins Mini Mart Inc
129 Dwight St,11231,Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,23.5,High,129 Columbia Food Corp | 129 Dwight St Food Corp | 129 Money Market & Grill Corp | F & J DWIGHT FOOD CORP. | FAMILY SUPERMARKET | New Way 129 Food Corp
3438 Boston Rd,10469,Convenience Store | Small Grocery Store,7,6,20.4,High,Bronx Bad Boys Deli Grocery Inc | DINA SPECIAL CORP | Flashlight Corp. | Green Apple Deli Grocery | Habibi Too Grocery | Moses Deli Grocery Inc
466 Bay St,10304,Convenience Store | Small Grocery Store,7,6,25.5,High,7 Days & Nights Grocery | Askar Deli & Grocery Corp | DAY & NIGHT GROCERIES | New Blondie 14 Food Corp | New Blondie 4 Food Corp | New Blondie Food 3 Corp
1700 Amsterdam Ave,10031,Convenience Store | Medium Grocery Store | Small Grocery Store,7,7,20.5,High,1700 R & R FOOD MARKET INC | 186 Grocery II Corp | Five Corner Deli & Grocery Store Inc | J.p. 144 Grocery Corp | K.m. 144 Grocery Corp | SAN VICTOR FOOD CENTER CORP
207 Broad St,10304,Medium Grocery Store | Small Grocery Store,7,7,22,High,EMPRESAS RODRIGUEZ CORP | Jason Food Market Corp | Kamelia Food Corp | Midway Minimarket Corp | P.M.P. Family Service Grocery Meat Market Corp
43 Catherine St,10038,Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,20.2,High,43 Deli Grocery Corp | Atieh Corp | Catherine Deli & Grocery  NJ Cat Inc | Catherine Deli Corp | Catherine Deli Grocery DBA NJ Cat Inc | Delicious Deli I Corp
969 Seneca Ave,11385,Convenience Store | Small Grocery Store,7,6,13.5,High,969 Dreamers Deli Incorporated | 969 United Deli Inc. | Corner Deli Grocery Store 1 | Moon Deli Grocery | Oaie & Sons Corp | Seneca Deli Grocery
4301 White Plains Rd,10466,Medium Grocery Store | Small Grocery Store,7,7,21.6,High,4301 Deli Grocery Inc | Emily Deli & Grocery Corp | IN CHECK REALTY CORP | Melo Mania Deli Grocery | Rivera Deli Corp | Sunlite Deli Inc
1886 Park Ave,10035,Small Grocery Store,7,6,16.9,High,1886 Park Ave Food Corp | Oleo Deli Food Corp | PARK AVE COMMUNITY DELI CO | Park Ave Community Deli Co | Park Ave Deli Food Market Corp. | Park Avenue Community Deli Corp
1880 86th St,11214,Combination Grocery/Other | Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,18.6,High,"19th Avenue Convenience Inc | 86 Alex Supermarket Inc | Captain Supermarket Inc | M.d.k Foodmart, Inc. | Shan Hing Supermarket Inc | Sing Fa Trading Inc"
7602 18th Ave,11214,Convenience Store | Small Grocery Store,7,7,23.8,High,18TH AVE MINI MARKET | 76 Cucci's Deli Inc | C & S DELI GROCERY INC | C & S Deli Grocery Inc | PRP Inc | Tallinn Deli Corp
3596 Nostrand Ave,11229,Combination Grocery/Other | Convenience Store | Small Grocery Store,7,8,27.1,High,3596 S M Deli Grocery Corp | Aziz Deli Corp. I | DISCOUNT DAIRY & DELI | F And A Grocery Corp. I | N & H MEAT CORP. | S & H Meat Grocery Corp
4378 3rd Ave,10457,Small Grocery Store,7,8,28,High,4378 GROCERY CORP | 4378 Third Avenue Corp | Los Paulino Grocery Store Inc. | MEDINA GROCERY STORE | Sally Grocery Corp | Sammy Grocery & Deli Corp
3593 3rd Ave,10456,Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,24.6,High,"24 Hour King Deli Corporation | 24/7 King Deli Corp | 5 Kings Deli Corp | Big Z Gourmet Deli Inc | DAYLAM GOURMERT DELI, INC | M & D DELI CORP"
1201 Castle Hill Ave,10462,Convenience Store | Small Grocery Store,7,6,20.8,High,1201 Express Deli & Grocery Corp | 7 Bay Star Inc | EXPRESS STOP DELI & GROCERY INC | Fastcom Inc | My Deli At 1201 | My Deli Store Candy 2 & Grocery Corp
402 Jersey St,10301,Convenience Store | Medium Grocery Store | Small Grocery Store,7,6,20.9,High,402 Fresh Market Corp | 402 JERSEY STREET FOOD CORP | 402 Joe' Market Corp. | Jersey Meat Plaza | Lopez Grocery Corp | MARMOLEJOS SUPERMARKET CORP
97 E 184th St,10468,Convenience Store | Medium Grocery Store | Small Grocery Store,7,7,25.5,High,97 Gourmet Deli Grocery Corp | Brianna Grocery Corp | MASIEL DELI GROCERY INC | Morris Deli & Grocery Corp | Morris Gourmet Deli Grocery | Star Food Market
994 Winthrop St,11212,Convenience Store | Small Grocery Store,7,7,21.7,High,ANDY GROCERY STORE | ARIAS DELI & GROCERY | Geno Grocery | King's Limitless Inc | Samantha Grocery | Star Two Deli Corp
16 E 183rd St,10453,Convenience Store | Medium Grocery Store | Small Grocery Store,7,7,29,High,16 Tonys Deli Grocery Corp | 16 Tonys Deli-Grocery Corp | Morris Best Deli & Grill Inc | Nena Deli Grocery 2 Corp | Olis Deli Grocery Corp | Rafito Food Center Corp
80 Church Ave,11218,Convenience Store | Medium Grocery Store | Small Grocery Store,7,7,21.8,High,"Maa Shawdesh Grocery Inc | Maa Supermarket Nyc Inc | Modern Shawdesh Grocery Inc | New Shawdesh Enterprise, Inc | Noakhali Supermarket Inc. | SHAWDESH BUSINESS INC"
1961 Fulton St,11233,Convenience Store | Small Grocery Store,7,8,23.5,High,1961 Fulton Deli Corp | 1961 Grocery Store | Family Express Deli Inc. | Fulton & Saratoga Deli Corp | IRIS DELI & GROCERY | M's Deli Corp
196 Hoyt St,11217,Convenience Store | Small Grocery Store,7,9,22.4,High,BANI DELI & GROCERY CORP | Family Bazar Supermarket Inc | Hoyt Food & Supermarket Corp | Hoyt Grocery & Deli | Hoyt Street Deli & Grocery | Middle Grocery Store
203 E 198th St,10458,Convenience Store | Small Grocery Store,7,7,21.3,High,Best Mo Deli Grocery Inc | E 198 Paradise Deli & Grocery Inc | Ma Grocery | Sudanny Deli Grocery inc | Te Amo Deli Grocery Corp | Te Amo Deli Inc
146 Graham Ave,11206,Convenience Store | Small Grocery Store,7,5,20.9,High,"146 Stop One Deli Inc | GRAHAM AVENUE STOP 1 DELI, INC | Graham Stop One Deli Inc. | Mannys Gourmet Deli And Grocery Corp | SAMI Q MINIMART & DELI CORP | Tonys Gril And Deli Corp"
772 Blake Ave,11207,Convenience Store | Small Grocery Store,7,6,21.9,High,772 Blake Delicious Inc | EZ Deli Corporation | General Food And Grocery Corp | Miller & Blake Grocery Inc | Miller Deli Grocery Corp | ROBERT'S GROCERY INC
7813 5th Ave,11209,Medium Grocery Store | Small Grocery Store,7,6,26.8,High,AL-AMIR CORPORATION | Al-Amir Corp II | Al-Amir Halal Meat Inc | Bay Root Meats Inc | K & N HALAL MEAT CORP | Zamzam Market Inc
1960 Bathgate Ave,10457,Medium Grocery Store | Small Grocery Store,7,8,23,High,Angels Deli Grocery Inc | El Duo Deli & Grocery Inc. | JJJM Grocery Store Corp | Katy Deli Grocery Corp | Kolac Inc | Mama Olga Deli Grocery Inc.
732 Courtlandt Ave,10451,Convenience Store | Small Grocery Store,7,6,23.6,High,732 Courtland Food Corp | 732 Courtlandt Deli Corp | 732 Courtlandt Street Corp | 732 Food Corp | 78 L G CORPORATION | Courtlandt Grocery & Deli Corporation
7408 Jamaica Ave,11421,Convenience Store | Small Grocery Store,7,7,14.8,High,"Almighty Deli Grocery Corp | Borough Line Deli Corp. | IDI Deli And Grocery Inc | M & Z Ny, Inc | Plaza Deli & Grocery | Plaza Deli & Grocery Inc."
